key,0,1
#,,
int32,str,str
0,"TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_000","Hallo, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Hast du heute eine Lieferung dabei, oder einfach nur Lust auf eine Tasse Tee?"
1,"TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_001","Ah, es ist schön, dich zu sehen, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Ich hoffe, die Beschaffung der zahlreichen Mittel für das Studienprogramm verläuft nach Plan? Ich kann es kaum erwarten, zu sehen, welche Wunder du vollbringen wirst!"
2,"TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_002","Ich danke dir wie immer für deine fortwährende Unterstützung, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Aus meiner Zeit als Studentin weiß ich nur zu gut, dass man sich auf leeren Magen unmöglichen konzentrieren kann. Daher hätte ich gerne eine paar mit Äther versetzte Brotdosen zur Hand, falls ich dich mit deren Beschaffung beauftragen dürfte?"
3,"TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_003","Ich kann nicht genau sagen, warum, aber ich fühle mich immer erleichtert, wenn du an meiner Seite bist, <Split(<Highlight>ObjectParameter(1)</Highlight>, ,1)/>. Wann immer du eine Ruehpause brauchst, bist du hier stets willkommen. Wie bereits besprochen, brauche ich so viele Marionetten wie möglich, um Studenten zu unterstützen, denen der Einsatz von Magie Probleme bereitet."
4,"TEXT_CTSSFSCHARACTER8_00773_GREETING_AMELIANCE_000_004","Herzlich willkommen! Ich habe gerade an dich gedacht. Du kommst doch vorbei, wenn du kannst, oder? Ich habe schließlich ein persönliches Interesse an deinem Wohlergehen."
5,"TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_000","Was möchtest du tun?"
6,"TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_001","Gewünschte Sammlerstücke bei Charlemend abliefern (noch <Value>IntegerParameter(2)</Value>)"
7,"TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_002","Eine Projektion auf Ameliance anwenden"
8,"TEXT_CTSSFSCHARACTER8_00773_TOPMENU_000_003","Fragen zu Wunschlieferungen stellen"
