key,0,1
#,,
int32,str,str
0,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_000","Cette partie de la Sylve est réputée pour le nombre d'objets archéologiques qu'on peut y trouver, mais il n'est pas rare que ceux-ci portent encore la marque de puissants envoûtements. C'est pour les dissiper que j'ai été dépêchée ici."
1,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_010","Dites-moi, auriez-vous découvert des trésors cachés lors de votre exploration du Palais des morts<Indent/>? Si c'est le cas, n'hésitez pas à me les confier, car je peux les désenvoûter et vous permettre de récupérer ce qu'ils contiennent."
2,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_020","Je me demande bien ce qui est écrit sur ce parchemin laissé par le créateur du Palais des morts... Qui est-il vraiment<Indent/>? Et quels étaient ses objectifs en créant un tel lieu<Indent/>?<Indent/>..."
3,"TEXT_DEEPDUNGEONGACHA_STARTMENU_TITLE","Que voulez-vous faire<Indent/>?"
4,"TEXT_DEEPDUNGEONGACHA_STARTMENU_GACHA","Faire désenvoûter un trésor mystérieux"
5,"TEXT_DEEPDUNGEONGACHA_STARTMENU_ABOUT","En savoir plus sur les trésors cachés"
6,"TEXT_DEEPDUNGEONGACHA_STARTMENU_EXIT","Annuler"
7,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_050","Des membres de notre équipe chargée d'enquêter sur le mystérieux labyrinthe gelmorrain y ont apparemment découvert des trésors cachés. À l'instar de l'aura malveillante qui plane sur ces lieux, ces objets sont protégés par un puissant maléfice."
8,"TEXT_DEEPDUNGEONGACHA_ABOUT_WOODWAILERAPPRAISERS_000_051","C'est pour cette raison que l'on m'a dépêchée ici. En ma spécialité de conjuratrice, je vous propose de désenvoûter les artefacts que vous trouverez lors de vos incursions dans les vestiges<Indent/>!"
9,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_060","Certains étages du Palais des morts peuvent receler des trésors cachés. Ces derniers contiennent des objets qu'il est impossible d'identifier du fait d'un mauvais sort."
10,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_061","Le PNJ “conjuratrice des vigiles sombres” est toutefois en mesure de les désenvoûter, et ainsi de les rendre utilisables."
11,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_062","Pour déterrer un trésor caché, il suffit de se tenir momentanément à l'endroit indiqué au sol."
12,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_063","Notez cependant que l'emplacement de ces objets ne peut généralement pas être découvert par le simple fait d'explorer le Palais des morts."
13,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_064","Il existe néanmoins un certain type de poteries magiques qui permet de rendre visible les lieux où les trésors cachés se trouvent."
14,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_065","En outre, les trésors ne sont ajoutés à l'inventaire qu'une fois que le personnage ressort du donjon sans fond, après avoir conquis le dernier d'une série d'étages et effectué la sauvegarde de sa progression."
15,"TEXT_DEEPDUNGEONGACHA_ABOUT_SYSTEM_000_066","Il existe différents types de trésors mystérieux, dont la qualité du contenu peut varier. Les objets tendent à avoir une plus grande valeur au fur et à mesure que l'on s'enfonce dans le Palais des morts."
16,"TEXT_DEEPDUNGEONGACHA_STARTMENU_WHO","（★未使用／削除予定★）"
17,"TEXT_DEEPDUNGEONGACHA_ABOUT","（★未使用／削除予定★）"
18,"TEXT_DEEPDUNGEONGACHA_WHO","（★未使用／削除予定★）"
19,"TEXT_DEEPDUNGEONGACHA_REJECT","（★未使用／削除予定★）"
